*molname	UGT_Yes
182-1	3
16334-1	3
20758-6	3
20746-1	3
27565-2	3
20758-5	3
20758-1	3
20746-4	3
20714-3	3
20774-1	3
20714-6	3
20714-1	3
10541-1	3
20774-2	3
20774-6	3
27566-3	3
7130-2	3
27566-1	3
4723-2	3
21812-1	3
20709-4	3
21812-4	3
27566-4	3
7130-1	3
27566-2	3
21812-2	3
20709-2	3
20709-3	3
20709-1	3
25923-1	2
41313-1	2
25924-1	2
4150-1	2
22017-1	2
22036-1	1
34370-1	3
34372-1	3
36663-1	2
22031-1	2
36661-1	2
3838-1	2
21334-1	2
36670-1	2
19262-1	2
21331-1	2
42519-1	2
32453-1	3
32428-1	2
16509-1	2
36661-2	2
22027-1	2
14886-1	3
36502-2	2
36502-1	2
20795-1	1
20062-1	3
36495-1	2
14919-1	3
15546-1	3
25919-2	3
15552-2	3
43790-1	3
36504-1	2
5718-2	3
43059-1	2
27499-1	1
16199-1	3
36497-2	4
43074-1	3
25911-1	2
23901-1	4
1684-1	3
36497-1	4
23900-1	3
16357-1	3
36218-1	3
14492-1	3
1556-1	3
2936-2	3
30849-1	4
14914-1	3
2959-1	3
17688-1	4
35646-1	4
2936-1	3
5718-1	3
44967-1	2
25919-1	3
16357-2	3
30797-2	3
15552-1	3
11965-1	3
3109-2	3
3109-1	3
15014-1	4
2949-1	3
19263-1	3
28463-1	3
30432-4	5
30432-2	5
30432-1	5
30432-3	5
39175-2	2
39175-1	2
14864-1	3
20750-2	3
14864-2	3
20797-3	2
20724-4	3
20750-6	3
20750-7	3
20797-4	2
20724-2	3
27620-1	3
20702-6	3
20730-1	3
20730-2	3
14876-4	3
30318-1	2
14066-1	2
40031-1	4
27635-1	2
38150-2	2
44904-2	2
38156-1	2
27168-4	3
38150-1	2
14521-1	4
21641-1	4
19260-2	3
19260-1	3
17771-1	3
30137-2	3
10548-1	3
3565-1	4
16336-1	3
1364-1	3
3541-1	3
24930-1	3
7773-1	3
24930-2	3
3376-1	4
29867-1	1
29867-2	1
14127-1	5
14127-4	5
39595-2	5
38256-3	4
13537-2	4
14117-1	4
14128-1	4
37083-2	4
38256-2	4
39595-1	5
7224-2	4
44666-4	4
44666-1	4
14127-2	5
17922-2	4
26778-1	5
26778-2	5
14128-3	4
14128-4	4
1685-1	5
17922-3	4
14128-2	4
29836-1	3
38256-1	4
44666-3	4
44666-2	4
17922-1	4
38256-4	4
13537-1	4
3373-1	4
38280-2	2
38280-1	2
27507-1	3
27507-2	3
3438-1	5
39967-2	4
39967-1	4
15107-2	3
15107-1	3
129-1	5
26803-1	4
38254-2	4
17921-4	4
38254-3	4
24964-1	4
17921-3	4
17921-1	4
38254-1	4
24964-2	4
24186-1	5
1709-1	5
24186-2	5
155-1	4
29853-3	3
29853-1	3
29853-2	3
29853-4	3
3563-1	3
17916-2	5
17916-3	5
17916-1	5
17916-4	5
15148-1	5
15148-2	5
27612-3	3
27612-4	3
27612-1	3
16359-2	3
16359-1	3
11611-1	3
37203-1	1
17750-1	2
3495-1	3
3514-1	3
3444-1	4
39859-1	3
8399-1	3
42723-2	3
127-1	5
14944-2	2
20712-2	2
20759-4	3
20759-3	3
7128-2	3
20712-1	2
20747-1	3
20726-2	3
20745-2	2
20745-1	2
20801-4	2
20801-1	2
20744-2	3
20726-1	3
11368-2	3
7105-2	3
27573-1	3
41059-2	1
20726-3	3
20747-2	3
20801-3	2
7128-1	3
20693-2	2
20760-2	2
20760-1	2
20693-1	2
2318-1	5
43864-1	2
36965-1	2
19370-1	2
42020-1	3
16613-1	3
22045-1	2
22034-1	2
22030-1	2
16609-1	3
22022-1	2
16634-1	3
36672-1	2
44503-2	2
32423-1	2
36659-1	2
32412-1	2
32442-1	2
22018-1	2
22043-1	2
22033-1	2
37442-1	2
44517-1	2
22025-1	2
36660-1	2
22035-1	2
22028-1	2
44122-1	1
44122-2	1
20782-3	0
20782-1	0
20706-3	1
20754-3	1
20754-1	1
20706-1	1
20772-1	2
20771-1	2
20772-2	2
20771-2	2
38093-4	5
41138-2	5
41138-4	5
2675-1	3
2330-2	5
41138-3	5
38093-3	5
41138-1	5
38093-2	5
2338-2	5
2338-1	5
2309-1	5
38093-1	5
2330-1	5
2329-1	5
9124-1	3
25920-1	2
43856-1	3
11471-2	4
9745-1	3
28183-1	2
34233-1	1
11351-1	2
31720-1	2
30813-2	3
11298-1	3
7103-1	3
11363-1	2
28181-1	2
44990-1	3
14757-1	0
19249-1	2
12201-1	3
41930-1	1
10694-1	2
17259-1	2
11471-3	4
25915-1	3
39316-1	3
28182-1	2
19261-1	3
29670-1	2
10688-1	3
44523-1	3
19334-1	3
23487-2	1
7127-2	3
19021-1	3
29840-1	3
29835-1	3
27572-1	3
9758-1	3
10690-1	3
10689-1	3
11471-1	4
11366-1	3
8465-1	3
34827-1	2
43689-1	3
17266-1	2
10684-1	3
30931-1	3
19291-1	3
10683-1	3
7112-1	2
8423-1	3
7103-2	3
23802-2	2
19291-2	3
15539-1	3
11471-4	4
23802-1	2
27557-1	3
43683-1	3
37247-1	3
21308-1	3
11347-1	3
7112-2	2
8384-1	3
34827-2	2
27557-2	3
30813-1	3
9757-1	3
28176-1	2
44102-1	3
44102-3	3
44102-4	3
2726-1	3
45217-1	3
17290-1	2
18872-2	2
11372-1	2
17256-1	2
23487-1	1
42640-1	2
7127-1	3
44102-2	3
34746-1	3
8336-1	3
11669-2	3
18872-1	2
11366-2	3
27560-2	3
44523-2	3
5719-1	3
7106-2	2
27560-1	3
17694-1	3
37247-2	3
3241-1	3
19383-1	3
19383-2	3
22-1	5
10757-1	3
20720-4	2
20720-2	2
19652-1	4
7264-1	4
17905-1	4
3511-1	3
10836-1	5
40812-1	4
16395-1	5
17923-1	5
13812-1	5
7413-1	3
1917-2	5
1917-1	5
10839-1	5
8858-2	4
10839-2	5
8858-1	4
29535-1	3
30892-1	3
29535-4	3
29535-3	3
29535-2	3
37238-1	3
37238-2	3
16836-1	3
24936-1	4
3177-1	5
19169-8	5
24964-4	4
9747-1	3
36078-2	4
10686-1	3
5700-1	3
8273-2	4
18296-4	3
37433-1	3
37436-1	3
27561-1	2
41818-2	5
41818-1	5
14903-1	3
27561-2	2
36078-1	4
18296-3	3
24106-2	3
39-1	5
22011-2	3
13696-1	5
38152-1	2
8273-1	4
7511-1	4
14881-1	3
37432-1	3
2283-1	4
18296-1	3
22011-1	3
21927-2	3
24964-3	4
4357-1	3
27098-1	4
24106-1	3
3822-1	2
13061-1	3
27098-2	4
7511-4	4
1536-1	4
38152-2	2
7511-2	4
11210-1	3
34834-1	3
36278-1	3
36278-3	3
36278-4	3
42913-1	2
3464-1	3
2299-1	3
4321-1	4
34121-4	3
34121-2	3
34121-1	3
34121-3	3
17926-1	4
42023-1	4
3564-1	3
3502-1	3
26584-1	4
15342-1	3
14989-1	2
10703-1	3
19268-1	3
40229-1	3
3371-1	3
19268-2	3
9952-1	3
19265-2	3
3553-1	3
19265-1	3
42068-1	3
14828-1	3
20798-2	3
20798-1	3
20798-3	3
44736-1	2
18880-1	3
15318-1	2
12834-1	2
3102-1	2
2297-1	3
15485-1	2
42909-1	3
21687-1	4
10777-1	4
21315-1	2
16400-1	2
15335-1	2
29895-1	2
16403-1	2
21319-1	2
18864-1	2
15474-1	2
14057-1	2
2716-1	2
21299-1	2
27553-1	2
27554-1	2
18860-1	2
3554-1	3
21324-1	2
4174-1	2
41644-2	2
41644-1	2
35991-2	5
35991-1	5
16598-4	5
14119-2	4
34776-1	2
34776-2	2
29834-4	4
16598-3	5
16598-1	5
29834-3	4
16598-2	5
15803-1	1
14119-1	4
3793-1	3
21995-1	2
2335-1	3
29605-2	5
29605-4	5
29605-1	5
29605-3	5
1428-1	3
3566-1	5
15340-2	4
15340-1	4
13591-2	3
16343-1	4
16343-2	4
42980-2	3
17313-1	4
42980-1	3
13591-1	3
6805-1	5
16601-3	4
16601-2	4
16601-1	4
3828-1	4
29828-1	3
3570-1	3
24606-1	3
15816-3	5
16626-1	4
16626-3	4
15816-4	5
35181-3	5
16626-2	4
15816-2	5
15816-1	5
16626-4	4
35181-4	5
14110-1	5
14110-2	5
24935-1	2
26765-2	5
16339-1	4
15339-1	3
15647-1	2
26765-1	5
24935-2	2
26782-1	4
15343-1	4
16339-2	4
24938-2	4
16845-1	4
14122-1	4
24950-2	4
26782-2	4
24950-4	4
24938-1	4
24950-3	4
16629-1	4
16635-2	4
16629-2	4
16635-4	4
2137-2	4
16635-1	4
16629-4	4
14528-2	4
16635-3	4
16629-3	4
17754-1	4
3494-1	4
4558-2	4
4558-1	4
3866-1	4
2168-1	5
1604-1	3
17881-1	4
37106-1	5
22112-1	4
2136-1	4
27976-1	3
1663-1	3
2177-1	3
17039-1	2
21099-1	3
1597-1	3
2158-1	3
33031-1	2
39852-1	3
29611-1	3
2142-1	3
38285-1	4
21488-2	3
45133-1	3
15463-1	4
38285-2	4
45133-2	3
21488-1	3
2142-2	3
38113-1	2
21338-1	3
1524-1	3
15650-1	2
15694-1	2
2145-1	3
39865-1	2
35998-1	2
18861-1	3
2183-1	2
16346-1	3
35997-1	3
21322-1	3
35996-1	2
15480-1	2
21314-1	3
37888-1	2
39844-1	2
21330-1	2
7261-1	2
14058-1	2
37887-1	2
17693-1	3
17877-1	2
21340-1	2
2162-1	2
3446-1	1
25900-1	3
2154-1	2
21300-1	2
21301-1	2
27396-1	3
38335-1	2
18794-1	1
18794-2	1
27396-2	3
33224-1	2
33211-2	2
33211-3	2
20697-1	2
41211-1	2
19019-1	3
41747-2	4
41747-1	4
42429-1	3
1610-1	4
3469-1	5
44916-2	2
38556-1	4
38556-2	4
44916-1	2
20312-1	4
10715-1	5
10715-2	5
4362-2	5
4362-1	5
2764-2	3
39497-1	3
10255-1	2
10254-1	3
13258-1	2
27258-4	3
31388-1	4
31388-2	4
36666-1	2
10504-3	2
24906-1	1
10504-7	2
10499-2	2
10504-5	2
10504-1	2
10504-6	2
10499-1	2
10504-4	2
10504-8	2
27644-2	3
27644-1	3
29195-1	4
10842-1	4
43645-1	3
35400-3	5
29099-2	5
43645-2	3
40493-1	3
35400-2	5
29099-1	5
34952-1	3
35400-4	5
2682-1	2
35651-1	2
30815-2	3
17268-1	2
30805-2	3
30805-1	3
15551-1	3
17312-2	2
2754-2	3
3280-1	1
17264-1	1
2739-1	3
2739-2	3
25909-1	2
43638-1	3
2748-1	4
29668-1	2
17260-1	2
2714-1	3
10634-1	1
17312-1	2
17305-1	3
14602-1	2
5714-1	3
30781-1	3
25912-1	3
17268-2	2
19279-1	3
17289-1	1
17305-2	3
5803-2	4
11063-2	4
37893-2	4
5803-1	4
37891-1	4
37893-1	4
11063-1	4
37891-3	4
37891-2	4
37891-4	4
10758-1	3
11299-1	4
1373-1	3
10202-1	4
1433-1	4
1943-1	4
5693-1	4
120-1	5
40523-1	4
10202-2	4
659-1	4
24905-1	2
24905-2	2
29891-1	3
15657-1	4
26212-1	5
20217-1	3
30369-1	1
30366-1	2
39208-1	4
11308-1	4
19130-1	3
11308-2	4
19653-1	5
21353-1	3
4950-1	5
14587-1	3
14591-1	3
14595-1	3
14590-1	3
3216-1	3
29260-1	2
10315-1	4
10315-2	4
40085-1	1
2560-1	3
38553-1	2
38555-1	2
38552-1	3
21081-1	3
8144-1	3
35181-8	5
35648-1	2
35647-1	2
40353-1	5
26740-2	3
35181-7	5
37443-2	3
35181-5	5
14695-2	3
23017-1	4
40353-2	5
40387-1	4
17301-1	4
27105-2	4
14069-1	3
27105-1	4
35181-6	5
19001-1	3
37884-2	3
31237-4	3
26743-2	3
7305-1	3
4556-1	5
16290-1	2
24116-2	4
19285-2	3
8903-1	4
13810-1	4
15297-1	3
24604-1	3
9924-1	3
5357-1	3
42433-1	3
44002-2	3
44002-3	3
3534-1	3
3534-2	3
42433-2	3
16318-1	3
44002-4	3
44002-1	3
4044-1	3
14990-1	2
8991-1	4
9040-1	3
42434-2	3
21323-1	3
5952-1	2
3568-1	3
20699-1	3
42434-1	3
3326-1	3
28216-1	2
42158-1	3
19321-1	3
21119-1	3
26586-2	3
26586-1	3
3569-1	4
17907-1	2
8152-1	3
16271-1	2
3452-1	6
4042-1	3
9413-1	3
2733-1	1
29641-1	3
17791-2	3
17791-1	3
21992-1	2
27578-1	3
16315-1	3
19264-1	3
42976-1	3
42976-2	3
33347-1	2
3987-1	2
14496-1	2
35182-1	4
35182-2	4
15511-2	4
15511-4	4
17908-1	3
21286-2	4
17919-1	4
11786-1	4
11786-2	4
15511-1	4
21286-1	4
15511-3	4
17908-2	3
21286-4	4
18799-1	1
21286-3	4
18799-2	1
5944-1	5
11769-1	5
18800-2	3
18796-2	2
23472-3	5
18796-1	2
15847-2	5
15847-1	5
27584-1	2
41301-1	3
42003-1	4
21342-1	2
27657-1	2
18802-1	2
3508-2	4
3508-1	4
15665-1	2
26752-2	4
26752-1	4
24608-2	3
3635-2	4
24608-1	3
39600-1	3
15482-1	3
3635-1	4
14381-1	4
3910-1	2
24945-2	4
3845-1	4
29872-1	3
15806-1	3
24945-1	4
3552-1	4
29872-2	3
16848-1	4
24546-2	3
41539-1	3
9998-1	4
40959-1	3
3118-1	5
24546-1	3
43630-1	2
33849-1	2
9022-1	3
15807-1	2
28080-1	2
10534-1	3
28075-1	0
14652-1	3
13879-1	2
3862-1	3
35487-1	2
44449-1	4
35138-1	3
10935-1	2
24607-1	4
3100-1	3
1539-1	3
36090-1	2
23087-1	3
3098-1	2
35486-1	3
35134-1	3
44073-1	2
2485-1	3
2485-2	3
14841-2	2
27608-1	3
27607-1	3
3846-1	2
27610-1	3
27611-1	3
27610-2	3
3846-2	2
27608-2	3
40866-1	2
35489-1	3
35489-2	3
27607-2	3
27611-2	3
15472-1	4
17492-1	5
12275-1	3
12277-1	4
21317-1	2
35011-1	3
7269-1	2
21328-1	2
12276-1	3
21341-1	2
26731-1	4
35139-1	2
35136-1	3
2149-1	2
18795-1	1
14696-2	1
18795-2	1
13799-1	2
33228-1	2
39667-1	2
27618-1	2
43640-1	2
43640-2	2
14594-1	2
27567-1	3
8432-1	3
40635-2	1
27609-1	1
8401-1	0
26895-1	1
14651-1	2
9004-1	2
2141-1	2
39076-1	4
42598-2	1
42598-1	1
37772-1	5
40424-1	5
40424-2	5
37772-2	5
14222-1	4
27651-1	3
27651-2	3
907-2	3
907-4	3
907-1	3
907-3	3
23291-1	1
23332-1	2
10252-1	1
23295-1	4
11189-1	4
43600-1	2
16833-1	4
36747-1	2
19746-2	0
19746-1	0
36540-2	2
34976-1	2
36540-1	2
34976-2	2
36898-1	3
2753-1	3
30810-2	3
15410-1	3
30810-1	3
2770-1	3
43882-1	3
30807-1	3
17957-1	2
17273-1	2
30807-2	3
5593-1	3
29198-1	4
5037-1	3
18165-1	3
6706-1	4
18148-2	4
29198-2	4
18145-2	4
18145-1	4
4465-2	4
18148-1	4
8979-1	4
18914-1	4
4465-1	4
40049-1	2
30360-1	3
6709-1	5
8964-1	2
18165-2	3
5675-1	5
2895-1	4
4814-1	5
8-1	5
10913-1	4
4814-2	5
5426-2	5
10913-2	4
5426-1	5
27978-1	4
4433-1	5
23260-2	4
23127-2	3
42554-2	1
42554-1	1
11876-1	3
33362-1	3
33362-2	3
41752-1	3
30361-1	2
30363-1	3
23048-2	2
23048-1	2
39331-1	4
39331-2	4
24454-1	4
36132-1	3
29850-1	4
29850-3	4
38557-1	2
28122-1	2
3867-2	2
40273-1	4
41204-2	2
44187-2	3
21122-1	4
21121-1	4
21123-1	5
12104-1	3
17325-1	4
17315-1	4
41369-1	5
28186-1	5
20456-1	3
10001-1	3
10001-2	3
27689-1	0
27581-1	3
19259-1	3
16279-1	2
30164-1	2
16270-1	3
16278-1	2
27555-1	2
25851-1	3
11344-2	3
27579-2	2
27579-1	2
9910-1	3
29596-3	2
29596-2	2
27582-1	2
9412-1	3
27253-1	2
27654-1	3
42436-1	3
4148-1	3
41299-1	3
14694-1	3
18797-1	3
29657-1	3
3655-1	3
42186-1	2
29646-1	2
29643-1	2
7258-1	4
17928-1	4
15514-1	4
7258-2	4
17928-2	4
17927-1	4
15514-2	4
17928-4	4
17928-3	4
17917-2	4
17927-2	4
18806-2	5
17917-1	4
18806-1	5
44143-1	2
44143-2	2
29655-1	2
15707-1	3
24609-2	3
14703-1	4
39834-1	3
36093-1	4
39834-2	3
24609-1	3
14713-1	4
3682-1	2
44131-1	2
30724-1	2
22072-1	4
21289-1	3
17901-2	3
26776-1	4
3850-1	3
24948-1	4
3687-1	1
3465-1	3
2966-1	4
3670-1	4
28735-1	2
24948-2	4
26725-1	3
16340-1	4
21572-1	3
43062-1	3
32763-1	3
30152-1	3
1679-1	2
4332-1	2
3454-1	1
4250-1	1
4266-1	1
40957-1	0
40957-2	0
9027-1	3
21327-1	2
19733-1	2
25252-1	2
19727-2	1
19727-1	1
17792-2	2
3839-1	2
17792-1	2
21945-2	2
41538-2	3
41538-1	3
10632-1	2
14656-1	1
44391-2	3
44645-1	3
44645-2	3
44391-1	3
37985-1	4
3712-2	0
19720-1	0
19720-3	0
19720-4	0
19737-2	2
3712-1	0
19737-1	2
19720-2	0
23349-1	4
22602-1	2
42392-1	3
42392-2	3
44693-3	3
36541-1	2
44693-4	3
44693-2	3
44693-1	3
33862-1	2
30778-2	2
30778-1	2
3283-1	2
18175-1	4
33376-1	3
43393-1	3
34551-2	3
27227-1	2
45240-1	3
33376-2	3
3037-1	5
31151-1	4
30063-1	3
5035-1	4
4633-1	5
18158-2	4
18158-1	4
32913-1	5
4659-1	4
34551-1	3
5036-1	4
26746-1	3
26746-2	3
40743-2	5
40743-1	5
44714-1	5
18910-2	3
18910-1	3
30367-1	3
30362-1	3
33438-1	3
41147-1	5
42172-1	3
38906-2	5
36109-2	4
26759-2	2
24806-1	3
2171-1	2
44610-1	4
44610-2	4
18775-2	1
11440-1	3
18775-1	1
20717-1	3
27580-1	2
44212-1	2
3684-1	2
39971-1	4
39971-2	4
21098-1	5
16260-1	3
21664-2	3
3439-1	3
43197-1	4
21664-1	3
21303-1	2
43702-1	2
25922-1	2
14384-1	4
22076-1	4
8215-1	3
17434-1	4
25852-1	2
3685-1	1
9007-1	4
25835-1	2
39594-1	2
32758-1	3
43118-1	2
21950-2	2
19721-1	0
19721-2	0
2769-1	3
32276-2	5
32276-4	5
32276-3	5
19723-2	1
19723-1	1
23287-1	3
22925-1	3
42850-1	2
4616-1	5
5392-1	5
21981-1	3
9296-1	2
41321-1	3
24427-1	4
8340-1	2
41742-2	3
14593-2	2
12610-1	3
43351-1	3
2232-1	2
21837-2	3
21837-1	3
12602-1	2
5605-1	4
24439-1	4
40810-1	3
3790-1	4
28078-1	3
10198-1	4
9312-1	3
29372-1	4
40488-1	3
4657-1	5
24446-1	4
14686-1	3
13333-1	4
26097-1	3
10187-1	4
30981-1	4
